title,text,rating
Five Stars,good as any name brand,5
Did The Job,"Ordered on accident when I had searched for RECHARGEABLE batteries. Not happy. I will be less free about ordering on Amazon from now on. My fault, but it made my put up my guard.",3
Great product,"I was looking for something to read on and this fit the bill for the right price.Great screen clarity, good adjustment too. Works well and the battery life is great. Size is nice too. Big enough for 1 hand if needed.",5
Leaking Acid EVERYEWHERE!!,After 2nd recharge and use all but 3 are leaking corrosive fluid which has ruined my charger.,1
One Star,They fail earlier than brand names. I assumed Amazon would match in beat others. I won't order again.,1
It's okay,I got it because it was smaller and lighter than the original kindle fire. It is not as easy to operate as the original kindle fire.,3
Gift,Purchased this for my nephew. He loved it and can't stop playing with it.,5
Battery pack was missing,This item arrived with no battery pack. There is no way to power the toy without it because you can't just use regular batteries.,1
Hard to set up,I gave this as a gift for Christmas and still can't get it set up will have to go to geek squad to help,3
Shortest lasting batteries I've ever used,"I don't know if I got a bad batch, but I'm getting less than two week's of use when I use them in my Baldwin Keyless Deadbolt (https://www.amazon.com/Baldwin-8252-AC1-Cylinder-Electronic-Deadbolt/dp/B00441UCY0/) which takes 4 AA batteries. The Duracell Alkaline usually last 2-3 months, so I'm pretty appalled at how short these. I'm in San Francisco and it doesn't get that cold so I don't think that's the problem.I've tested the batteries with my tester (https://www.amazon.com/dp/B005G7SBY4) and it indicates they are good and in the green, yet won't drive the deadbolt.When I took the weakened batteries out of the deadbolt (that still show green) and put them in my headlamp (https://www.amazon.com/Fenix-HL23-Headlamp-XP-G2-FENIX-HL23-XP-G2-GOLD/dp/B00SH08UXY/), they only give about 20 minutes before they completely die.",1
Five Stars,reliable affordable,5
More ideal for a child or teen.,This is not a bad product. Amazon offers greats products but this tablet was missing features even for a basic tablet. The lack of google chrome compatibility made this tablet not right for me.,1
Decent Kids Edition,"This makes for a decent tablet for a kid with the kids edition, but I'm not sure I'd want it as an adult. There are much better tablets on the market. But since it's cheap, that's to be expected.",3
Great batteries. I'm not a big fan of disposable ...,"Great batteries. I'm not a big fan of disposable batteries, but unfortunetly big companies keep on making products that require the use of disposable batteries.",5
Decent tablet but not high caliber,"The display is not as sharp and vivid as they say but still good. Probably better for reading than watching videos. We didn't really get it for the games, but there is a good selection. WiFi works well and internet browsing is fast.",3
"Just as good as any other batteries, better for the price","Absolute best value for standard batteries (especially when using subscribe and save). If you aren't seeking rechargeable, I haven't ever been able to distinguish any real difference in quality or longevity between these and other top brands of batteries (Duracell, Energizer, etc.).Between my kids toys and my Xbox controllers, we go through about all of these batteries in about 6 months, so subscribe and save is the way to go.",5
"cheap, easy, slow",Great purchase for a 9-year old girl. Easy way for peaceful long car rides.,3
Good Buy,Great!!,5
Not worth the unless it's a special,Just ok,3
Great for a 5 year old,My granddaughter loves it and she's learning a lot,5
I do not recommend this,These have a very short life. I do not recommend this brand,3
Five Stars,power-full,5
One Star,Do not last near as long as other 'off brand' batteries,1
Good First Tablet,"I purchased this since I bought my grandson this tablet for Christmas. The tablet is slow, considering price that's OK.I have problems with the charger, it won't charge when I am using the tablet, the charger needs to be plugged in and not moved for it to charge.For the price the tablet is OK.",3
none of them work.,"They were duds. I bought them before christmas so I could stick them in the toys and not one worked. I tried them on other items to make sure it wasn't the toys and not the batteries . Nope , it was all of the batteries. I only give one star for the reason I got them on time ....now I have a box of triple a batteries that don't work . so glad I caught that before christmas or I would have had disappointed children on christmas.",1
Disappointing ripoff,"These batteries were a huge disappointment. I used two in my amazon tv remote and they lasted only 2 weeks. Usually, I only need to change batteries in that remote every 3-4 months or so. Total ripoff.",1
... my Christmas gifts the month of (december) only lasted like 2months toys now need replacement batteries,Bought these batteries for my Christmas gifts the month of (december) only lasted like 2months toys now need replacement batteries . I also used some for my doorbell and just now needs replacement batteries. Tv Remote control is still working but these batteries don't last very long...,3
Stay away,Worst product ever. Constantly screwing up and filled with ads you have to pay to remove. Best Buy refused to help when I wanted to return it,1
Didnt work for more than 10 minutes,Ive gone thru half the box. Everyone of these batteries lasted for about 10 minutes and then died. Not happy at all! Wasted money on something i needed.,1
I bought it as a gift,I bought it and wrapped it up immediately. So I couldn't say either way if it was good or not.,3
I've had good luck with Amazon basics peripheral devices for computers,"I've had good luck with Amazon basics peripheral devices for computers, but the 24 pack of AAA batteries I got had virtually no power out of the package. Perhaps it's a quality control issue, but I got burned on the ones I bought, and won't take another chance with them.",1
Cheap batteries that are cheaply made,"These batteries did not do the job for us. They were low powered and did not last as long as their competition.I thought all AA batteries were the same but after our experience with these I have to say that you get what you pay for.I am not sure how or why they are different than other batteries, lower voltage less capacitanceThey are cheap - do not buy them.",1
Great First Tablet,I bought this a first tablet. I'm disappointed in the battery life. I sort of expected better especially as I got hooked on online games.,3
My remote now works! Only needed batteries.,Best way to have electronics work is having them be charged or have batteries! Buying this pack will fix the needing batteries part!,5
Good for kids 6 to 10,Bought this for my daughter for christmas. I know she will like playing games on it,5
Dead on Arrival,"These are the worst batteries I have ever come across. I just discovered today that mostof the batteries I was sent were dead. I put 8 batteries into a device 3 weeks ago and the batteries were already dead (energizers lasted a year and a half in the same device) I put 4 others into another device and they lasted only 1 month (energizers lasted 2 years in this device). Both devices were operated under the same conditions. I tried putting new Amazon batteries into the devices, and the devices didn't work I tried putting another set in, same problem. I then placed Energizer batteries into the devices, and they work. I essentially bought 12 working batteries that lasted less than a month in devices that used them in such a manner they would last 12x as long. Never purchasing Amazon batteries again. I would return them for being dead, but I am outside the 30 day return window.",1
One Star,Trash. Only lasted a few hours.,1
Bad quality,Many of the batteries are no good.,1
Fire tablet,Bought this tablet for 8 year old. It holding up good & she loves it. She enjoys playimg her games & being able to get on the internet.,3
Good pics. we will see how long that last,Good pics.we will see how long that last..,5
Good Value!,Great value for high volume of batteries.,5
Great price,The price of the item was very good compared to other cages however the item itself came tilted so now my dog has a tilted dog crate. The tilt to the gates are noticeable but not very drastic. For the price I'll live with it.,3
I purchased the AA batteries for my Nest smoke detectors ...,"I purchased the AA batteries for my Nest smoke detectors. The batteries that came with the Nest lasted for a couple of years, so I expected similar performance from the Amazon AA's. In less than 2 months after my purchase, the Nest indicated that they had to be replaced again. This product is not to Amazon's expected standards. I will give it a miss.",1
Super slow,It takes forever to download apps. I'm returning it will be getting something else.,1
Great!!!,Great product!! My daughter loves it!!! She is two years old!!! Kids mode is the best.,5
Much faster,The screen is great outside but the biggest difference is the speed of page refresh. Having the page turn buttons back on the side is awesome!,5
Bought for wife,Bought this as a Mother's Day gift. Fits perfect inside her pocketbook for accessible use.,5
Amazon Batteries,I always try to buy Amazon rechargeable batteries. Good price and lasts a long time between charges. Saves a bit of the environment compared to disposable ones.,5
Great tablet,I use it to read books. Have read a lot of books on it. The right size and lighting for any situation.,5
Great tablet,"Great rablet, clear screen and small design. Great for watching movies.",5
CHEAP FOR A REASON,Amazon brand batteries are very poor quality. Don't last more than 3 months in a remote control (which barely uses any power). This is shameful and stupid as it diminishes confidence in the Amazon brand name.,1
Great for kids,I love this tablet and the games. But battery sucks. It goes dead really fast and it freezes up a lot.,3
Excellent tablet for its price,This is a great tablet for the price. Only caveat is the amazon ads that come with it.,5
Batteries,Such a great value!!!,5
Zero Star-All dead,Everyone read the 1 star reviews..the 5 star reviews must be people reviewing immediately. The 10 year promise is crap. I have 48 AA and 36 AAA batteries that are all dead after 1 year. The Dollar Tree batteries are better. Pay the extra money and don't fall for Amazons broken promises or guarantees.,1
WORST ALKALINE BATTERIES EVER TRIED. SAVE YOUR,WORST BATTERIES EVER TRIED. VERY POOR battery life compared to major name brand alkaline,1
AmazonBasicsAAA,All Good,5
Enough said,Their batteries,3
One Star,They don't work and are dead!!!!!!,1
